医療機関ID,医療機関名,都道府県名,医療機関住所,電話番号
cov00329,釜石厚生病院,岩手県,釜石市野田町一丁目１６番３２号,193235105.0
cov00329,釜石厚生病院,岩手県,釜石市野田町一丁目１６番３２号,193235105.0
cov00329,釜石厚生病院,岩手県,釜石市野田町一丁目１６番３２号,193235105.0
cov00328,医療法人グリーンエミネンス　中村古峡記念病院,千葉県,千葉市中央区千葉寺町１８８,432613336.0
cov00328,医療法人グリーンエミネンス　中村古峡記念病院,千葉県,千葉市中央区千葉寺町１８８,432613336.0
cov00328,医療法人グリーンエミネンス　中村古峡記念病院,千葉県,千葉市中央区千葉寺町１８８,432613336.0
cov00327,奥村日田病院,大分県,日田市田島町５００番地,973226166.0
cov00327,奥村日田病院,大分県,日田市田島町５００番地,973226166.0
cov00327,奥村日田病院,大分県,日田市田島町５００番地,973226166.0
cov00326,医療法人　桜花会　醍醐病院,京都府,京都市伏見区石田大山町７２,755710030.0
cov00326,医療法人　桜花会　醍醐病院,京都府,京都市伏見区石田大山町７２,755710030.0
cov00326,医療法人　桜花会　醍醐病院,京都府,京都市伏見区石田大山町７２,755710030.0
cov00325,医療法人社団　踏青会　小池病院,千葉県,八千代市小池３７４－１,474882171.0
cov00325,医療法人社団　踏青会　小池病院,千葉県,八千代市小池３７４－１,474882171.0
cov00325,医療法人社団　踏青会　小池病院,千葉県,八千代市小池３７４－１,474882171.0
cov00324,医療法人三幸会　第二北山病院,京都府,京都市左京区岩倉上蔵町１６１,757912137.0
cov00324,医療法人三幸会　第二北山病院,京都府,京都市左京区岩倉上蔵町１６１,757912137.0
cov00324,医療法人三幸会　第二北山病院,京都府,京都市左京区岩倉上蔵町１６１,757912137.0
cov00323,医療法人三幸会　北山病院,京都府,京都市左京区岩倉上蔵町１２３,757911177.0
cov00323,医療法人三幸会　北山病院,京都府,京都市左京区岩倉上蔵町１２３,757911177.0
cov00323,医療法人三幸会　北山病院,京都府,京都市左京区岩倉上蔵町１２３,757911177.0
cov00322,三村病院,北海道,室蘭市中島町３丁目３２番１５号,143443274.0
cov00322,三村病院,北海道,室蘭市中島町３丁目３２番１５号,143443274.0
cov00322,三村病院,北海道,室蘭市中島町３丁目３２番１５号,143443274.0
cov00321,つつじメンタルホスピタル,群馬県,館林市小桑原町１５０５,276802111.0
cov00321,つつじメンタルホスピタル,群馬県,館林市小桑原町１５０５,276802111.0
cov00321,つつじメンタルホスピタル,群馬県,館林市小桑原町１５０５,276802111.0
cov00320,医療法人静和会　中山病院,千葉県,市川市中山２‐１０‐２,473343480.0
cov00320,医療法人静和会　中山病院,千葉県,市川市中山２‐１０‐２,473343480.0
cov00320,医療法人静和会　中山病院,千葉県,市川市中山２‐１０‐２,473343480.0
cov00319,八幡浜医師会立双岩病院,愛媛県,八幡浜市若山４番耕地１６０番地１,894224355.0
cov00319,八幡浜医師会立双岩病院,愛媛県,八幡浜市若山４番耕地１６０番地１,894224355.0
cov00319,八幡浜医師会立双岩病院,愛媛県,八幡浜市若山４番耕地１６０番地１,894224355.0
cov00318,医療法人社団心癒会　しのだの森ホスピタル,千葉県,八千代市島田台１２１２,474882218.0
cov00318,医療法人社団心癒会　しのだの森ホスピタル,千葉県,八千代市島田台１２１２,474882218.0
cov00318,医療法人社団心癒会　しのだの森ホスピタル,千葉県,八千代市島田台１２１２,474882218.0
cov00317,医療法人　石郷岡病院,千葉県,千葉市中央区浜野町９１５,432646161.0
cov00317,医療法人　石郷岡病院,千葉県,千葉市中央区浜野町９１５,432646161.0
cov00317,医療法人　石郷岡病院,千葉県,千葉市中央区浜野町９１５,432646161.0
cov00316,医療法人社団十全会　十全病院,石川県,金沢市田上本町カ４５番地１,762315477.0
cov00316,医療法人社団十全会　十全病院,石川県,金沢市田上本町カ４５番地１,762315477.0
cov00316,医療法人社団十全会　十全病院,石川県,金沢市田上本町カ４５番地１,762315477.0
cov00315,医療法人社団倭会　ミネルバ病院,北海道,伊達市松ケ枝町２４５番地１,142212000.0
cov00315,医療法人社団倭会　ミネルバ病院,北海道,伊達市松ケ枝町２４５番地１,142212000.0
cov00315,医療法人社団倭会　ミネルバ病院,北海道,伊達市松ケ枝町２４５番地１,142212000.0
cov00314,医療法人社団澄心会　茂原神経科病院,千葉県,茂原市町保３４,475236222.0
cov00314,医療法人社団澄心会　茂原神経科病院,千葉県,茂原市町保３４,475236222.0
cov00314,医療法人社団澄心会　茂原神経科病院,千葉県,茂原市町保３４,475236222.0
cov00313,医療法人敬寿会　吉村病院,大阪府,松原市別所七丁目５番３号,723363101.0
cov00313,医療法人敬寿会　吉村病院,大阪府,松原市別所七丁目５番３号,723363101.0
cov00313,医療法人敬寿会　吉村病院,大阪府,松原市別所七丁目５番３号,723363101.0
cov00312,岡山県精神科医療センター,岡山県,岡山市北区鹿田本町３－１６,862253821.0
cov00312,岡山県精神科医療センター,岡山県,岡山市北区鹿田本町３－１６,862253821.0
cov00312,岡山県精神科医療センター,岡山県,岡山市北区鹿田本町３－１６,862253821.0
cov00311,平和台病院,岩手県,紫波郡紫波町犬渕字南谷地１１０番地５,196722266.0
cov00311,平和台病院,岩手県,紫波郡紫波町犬渕字南谷地１１０番地５,196722266.0
cov00311,平和台病院,岩手県,紫波郡紫波町犬渕字南谷地１１０番地５,196722266.0
cov00310,医療法人十全会　聖明病院,静岡県,富士市大渕８８８番地,545360277.0
cov00310,医療法人十全会　聖明病院,静岡県,富士市大渕８８８番地,545360277.0
cov00310,医療法人十全会　聖明病院,静岡県,富士市大渕８８８番地,545360277.0
cov00309,医療法人精光会　みやざきホスピタル,茨城県,稲敷市上根本３４７４,297873321.0
cov00309,医療法人精光会　みやざきホスピタル,茨城県,稲敷市上根本３４７４,297873321.0
cov00309,医療法人精光会　みやざきホスピタル,茨城県,稲敷市上根本３４７４,297873321.0
cov00308,厩橋病院,群馬県,前橋市江木町１２４１,272692530.0
cov00308,厩橋病院,群馬県,前橋市江木町１２４１,272692530.0
cov00308,厩橋病院,群馬県,前橋市江木町１２４１,272692530.0
cov00307,東京歯科大学千葉歯科医療センター,千葉県,千葉市美浜区真砂1-2-2,432703915.0
cov00307,東京歯科大学千葉歯科医療センター,千葉県,千葉市美浜区真砂1-2-2,432703915.0
cov00307,東京歯科大学千葉歯科医療センター,千葉県,千葉市美浜区真砂1-2-2,432703915.0
cov00306,武蔵野病院,群馬県,太田市龍舞町２９３,276459221.0
cov00306,武蔵野病院,群馬県,太田市龍舞町２９３,276459221.0
cov00306,武蔵野病院,群馬県,太田市龍舞町２９３,276459221.0
cov00305,宮古山口病院,岩手県,宮古市山口五丁目３番２０号,193623945.0
cov00305,宮古山口病院,岩手県,宮古市山口五丁目３番２０号,193623945.0
cov00305,宮古山口病院,岩手県,宮古市山口五丁目３番２０号,193623945.0
cov00304,藤田医科大学岡崎医療センター,愛知県,岡崎市針崎町五反田１,564648800.0
cov00304,藤田医科大学岡崎医療センター,愛知県,岡崎市針崎町五反田１,564648800.0
cov00304,藤田医科大学岡崎医療センター,愛知県,岡崎市針崎町五反田１,564648800.0
cov00303,医療法人社団倭会　三恵病院,北海道,有珠郡壮瞥町字仲洞爺６９番地,142663232.0
cov00303,医療法人社団倭会　三恵病院,北海道,有珠郡壮瞥町字仲洞爺６９番地,142663232.0
cov00303,医療法人社団倭会　三恵病院,北海道,有珠郡壮瞥町字仲洞爺６９番地,142663232.0
cov00302,独立行政法人国立病院機構　下総精神医療センター,千葉県,千葉市緑区辺田町５７８,432911221.0
cov00302,独立行政法人国立病院機構　下総精神医療センター,千葉県,千葉市緑区辺田町５７８,432911221.0
cov00302,独立行政法人国立病院機構　下総精神医療センター,千葉県,千葉市緑区辺田町５７８,432911221.0
cov00301,特定医療法人　隆湶会　南ひだ　せせらぎ病院,岐阜県,下呂市萩原町西上田１９３６－１,576255758.0
cov00301,特定医療法人　隆湶会　南ひだ　せせらぎ病院,岐阜県,下呂市萩原町西上田１９３６－１,576255758.0
cov00301,特定医療法人　隆湶会　南ひだ　せせらぎ病院,岐阜県,下呂市萩原町西上田１９３６－１,576255758.0
cov00300,赤城病院,群馬県,前橋市江木町１０７２,272695111.0
cov00300,赤城病院,群馬県,前橋市江木町１０７２,272695111.0
cov00300,赤城病院,群馬県,前橋市江木町１０７２,272695111.0
cov00299,医療法人社団造山会　まきび病院,岡山県,倉敷市真備町箭田２３８７番地,866986511.0
cov00299,医療法人社団造山会　まきび病院,岡山県,倉敷市真備町箭田２３８７番地,866986511.0
cov00299,医療法人社団造山会　まきび病院,岡山県,倉敷市真備町箭田２３８７番地,866986511.0
cov00298,医療法人社団わかさ会　南八街病院,千葉県,八街市四木１２４１－２,434453421.0
cov00298,医療法人社団わかさ会　南八街病院,千葉県,八街市四木１２４１－２,434453421.0
cov00298,医療法人社団わかさ会　南八街病院,千葉県,八街市四木１２４１－２,434453421.0
cov00297,自衛隊佐世保病院,長崎県,佐世保市平瀬町,956230486.0
cov00297,自衛隊佐世保病院,長崎県,佐世保市平瀬町,956230486.0
cov00297,自衛隊佐世保病院,長崎県,佐世保市平瀬町,956230486.0
cov00296,自衛隊呉病院,広島県,呉市昭和町6-34,823225501.0
cov00296,自衛隊呉病院,広島県,呉市昭和町6-34,823225501.0
cov00296,自衛隊呉病院,広島県,呉市昭和町6-34,823225501.0
cov00295,大分下郡病院,大分県,大分市大字下郡１４１０番地,975691021.0
cov00295,大分下郡病院,大分県,大分市大字下郡１４１０番地,975691021.0
cov00295,大分下郡病院,大分県,大分市大字下郡１４１０番地,975691021.0
cov00294,岐阜南病院,岐阜県,岐阜市柳津町高桑５－９１,582791155.0
cov00294,岐阜南病院,岐阜県,岐阜市柳津町高桑５－９１,582791155.0
cov00294,岐阜南病院,岐阜県,岐阜市柳津町高桑５－９１,582791155.0
cov00293,若久病院,福岡県,福岡市南区若久５丁目３－１,925512231.0
cov00293,若久病院,福岡県,福岡市南区若久５丁目３－１,925512231.0
cov00293,若久病院,福岡県,福岡市南区若久５丁目３－１,925512231.0
cov00292,自衛隊岐阜病院,岐阜県,各務原市那加官有地,583824739.0
cov00292,自衛隊岐阜病院,岐阜県,各務原市那加官有地,583824739.0
cov00292,自衛隊岐阜病院,岐阜県,各務原市那加官有地,583824739.0
cov00291,福岡保養院,福岡県,福岡市南区高木１丁目１７－５,924313031.0
cov00291,福岡保養院,福岡県,福岡市南区高木１丁目１７－５,924313031.0
cov00291,福岡保養院,福岡県,福岡市南区高木１丁目１７－５,924313031.0
cov00290,社会医療法人　聖泉会　聖十字病院,岐阜県,土岐市泉町久尻２４３１－１６０,572548181.0
cov00290,社会医療法人　聖泉会　聖十字病院,岐阜県,土岐市泉町久尻２４３１－１６０,572548181.0
cov00290,社会医療法人　聖泉会　聖十字病院,岐阜県,土岐市泉町久尻２４３１－１６０,572548181.0
cov00289,医療法人青葉会松江青葉病院,島根県,松江市上乃木５丁目１－８,852213565.0
cov00289,医療法人青葉会松江青葉病院,島根県,松江市上乃木５丁目１－８,852213565.0
cov00289,医療法人青葉会松江青葉病院,島根県,松江市上乃木５丁目１－８,852213565.0
cov00288,医療法人　同愛会　西濃病院,岐阜県,大垣市大外羽４－７,584894551.0
cov00288,医療法人　同愛会　西濃病院,岐阜県,大垣市大外羽４－７,584894551.0
cov00288,医療法人　同愛会　西濃病院,岐阜県,大垣市大外羽４－７,584894551.0
cov00287,医療法人恵和会石東病院,島根県,大田市大田町大田イ８６０番地３,854821035.0
cov00287,医療法人恵和会石東病院,島根県,大田市大田町大田イ８６０番地３,854821035.0
cov00287,医療法人恵和会石東病院,島根県,大田市大田町大田イ８６０番地３,854821035.0
cov00286,千嶋病院,大分県,豊後高田市呉崎７３８番地１,978223185.0
cov00286,千嶋病院,大分県,豊後高田市呉崎７３８番地１,978223185.0
cov00286,千嶋病院,大分県,豊後高田市呉崎７３８番地１,978223185.0
cov00285,養南病院,岐阜県,海津市南濃町津屋１５０８,584572511.0
cov00285,養南病院,岐阜県,海津市南濃町津屋１５０８,584572511.0
cov00285,養南病院,岐阜県,海津市南濃町津屋１５０８,584572511.0
cov00284,朝見病院,大分県,別府市朝見１丁目２３番２８号,977220036.0
cov00284,朝見病院,大分県,別府市朝見１丁目２３番２８号,977220036.0
cov00284,朝見病院,大分県,別府市朝見１丁目２３番２８号,977220036.0
cov00283,一般財団法人岩手済生医会　三田記念病院,岩手県,盛岡市加賀野三丁目１４番１号,196243251.0
cov00283,一般財団法人岩手済生医会　三田記念病院,岩手県,盛岡市加賀野三丁目１４番１号,196243251.0
cov00283,一般財団法人岩手済生医会　三田記念病院,岩手県,盛岡市加賀野三丁目１４番１号,196243251.0
cov00282,聖康会病院,青森県,弘前市和泉二丁目１７－１,172274121.0
cov00282,聖康会病院,青森県,弘前市和泉二丁目１７－１,172274121.0
cov00282,聖康会病院,青森県,弘前市和泉二丁目１７－１,172274121.0
cov00281,のぞえの丘病院,福岡県,久留米市上津町２５４３番地１,942223980.0
cov00281,のぞえの丘病院,福岡県,久留米市上津町２５４３番地１,942223980.0
cov00281,のぞえの丘病院,福岡県,久留米市上津町２５４３番地１,942223980.0
cov00280,医療法人同仁会海星病院,島根県,出雲市大津町３６５６の１,853213521.0
cov00280,医療法人同仁会海星病院,島根県,出雲市大津町３６５６の１,853213521.0
cov00280,医療法人同仁会海星病院,島根県,出雲市大津町３６５６の１,853213521.0
cov00279,医療法人社団種光会　朝山病院,静岡県,浜松市北区東三方町４７６－１,534201830.0
cov00279,医療法人社団種光会　朝山病院,静岡県,浜松市北区東三方町４７６－１,534201830.0
cov00279,医療法人社団種光会　朝山病院,静岡県,浜松市北区東三方町４７６－１,534201830.0
cov00278,医療法人　香風会　黒野病院,岐阜県,岐阜市洞１０２０,582390611.0
cov00278,医療法人　香風会　黒野病院,岐阜県,岐阜市洞１０２０,582390611.0
cov00278,医療法人　香風会　黒野病院,岐阜県,岐阜市洞１０２０,582390611.0
cov00277,大分丘の上病院,大分県,大分市大字竹中１４０３番地,975973660.0
cov00277,大分丘の上病院,大分県,大分市大字竹中１４０３番地,975973660.0
cov00277,大分丘の上病院,大分県,大分市大字竹中１４０３番地,975973660.0
cov00276,社会医療法人清和会西川病院,島根県,浜田市港町２９３－２,855222390.0
cov00276,社会医療法人清和会西川病院,島根県,浜田市港町２９３－２,855222390.0
cov00276,社会医療法人清和会西川病院,島根県,浜田市港町２９３－２,855222390.0
cov00275,医療法人共助会　猿島厚生病院,茨城県,古河市西牛谷７３７,280982231.0
cov00275,医療法人共助会　猿島厚生病院,茨城県,古河市西牛谷７３７,280982231.0
cov00275,医療法人共助会　猿島厚生病院,茨城県,古河市西牛谷７３７,280982231.0
cov00274,ふたば病院,広島県,呉市広白石４－７－２２,823700555.0
cov00274,ふたば病院,広島県,呉市広白石４－７－２２,823700555.0
cov00274,ふたば病院,広島県,呉市広白石４－７－２２,823700555.0
cov00273,医療法人　田村病院,和歌山県,和歌山市小倉６４５,734771268.0
cov00273,医療法人　田村病院,和歌山県,和歌山市小倉６４５,734771268.0
cov00273,医療法人　田村病院,和歌山県,和歌山市小倉６４５,734771268.0
cov00272,医療法人　清澄会　不破ノ関病院,岐阜県,不破郡垂井町９４－１,584220411.0
cov00272,医療法人　清澄会　不破ノ関病院,岐阜県,不破郡垂井町９４－１,584220411.0
cov00272,医療法人　清澄会　不破ノ関病院,岐阜県,不破郡垂井町９４－１,584220411.0
cov00271,医療法人　社団　芳英会　宮の陣病院,福岡県,久留米市宮ノ陣一丁目１番７０号,942321808.0
cov00271,医療法人　社団　芳英会　宮の陣病院,福岡県,久留米市宮ノ陣一丁目１番７０号,942321808.0
cov00271,医療法人　社団　芳英会　宮の陣病院,福岡県,久留米市宮ノ陣一丁目１番７０号,942321808.0
cov00270,社会医療法人　松平病院,青森県,八戸市大字新井田字出口平１７,178253217.0
cov00270,社会医療法人　松平病院,青森県,八戸市大字新井田字出口平１７,178253217.0
cov00270,社会医療法人　松平病院,青森県,八戸市大字新井田字出口平１７,178253217.0
cov00269,社会医療法人あさかホスピタル,福島県,郡山市安積町笹川字経坦４５,249451701.0
cov00269,社会医療法人あさかホスピタル,福島県,郡山市安積町笹川字経坦４５,249451701.0
cov00269,社会医療法人あさかホスピタル,福島県,郡山市安積町笹川字経坦４５,249451701.0
cov00268,医療法人丹比荘　丹比荘病院,大阪府,羽曳野市野１６４番地の１,729554468.0
cov00268,医療法人丹比荘　丹比荘病院,大阪府,羽曳野市野１６４番地の１,729554468.0
cov00268,医療法人丹比荘　丹比荘病院,大阪府,羽曳野市野１６４番地の１,729554468.0
cov00267,医療法人社団優心会　釧路優心病院,北海道,釧路市大楽毛４丁目１番１号,154578054.0
cov00267,医療法人社団優心会　釧路優心病院,北海道,釧路市大楽毛４丁目１番１号,154578054.0
cov00267,医療法人社団優心会　釧路優心病院,北海道,釧路市大楽毛４丁目１番１号,154578054.0
cov00266,熊本県立こころの医療センター,熊本県,熊本市南区富合町平原３９１,963572151.0
cov00266,熊本県立こころの医療センター,熊本県,熊本市南区富合町平原３９１,963572151.0
cov00266,熊本県立こころの医療センター,熊本県,熊本市南区富合町平原３９１,963572151.0
cov00265,十全ユリノキ病院,愛媛県,新居浜市角野新田町一丁目１番２８号,897412222.0
cov00265,十全ユリノキ病院,愛媛県,新居浜市角野新田町一丁目１番２８号,897412222.0
cov00265,十全ユリノキ病院,愛媛県,新居浜市角野新田町一丁目１番２８号,897412222.0
cov00264,長野県立こころの医療センター駒ヶ根,長野県,駒ケ根市下平２９０１,265833181.0
cov00264,長野県立こころの医療センター駒ヶ根,長野県,駒ケ根市下平２９０１,265833181.0
cov00264,長野県立こころの医療センター駒ヶ根,長野県,駒ケ根市下平２９０１,265833181.0
cov00263,財団新居浜病院,愛媛県,新居浜市松原町１３番４７号,897436151.0
cov00263,財団新居浜病院,愛媛県,新居浜市松原町１３番４７号,897436151.0
cov00263,財団新居浜病院,愛媛県,新居浜市松原町１３番４７号,897436151.0
cov00262,医療法人社団　天紀会　こころのホスピタル町田,東京都,町田市上小山田町２１４０番地,427970957.0
cov00262,医療法人社団　天紀会　こころのホスピタル町田,東京都,町田市上小山田町２１４０番地,427970957.0
cov00262,医療法人社団　天紀会　こころのホスピタル町田,東京都,町田市上小山田町２１４０番地,427970957.0
